symbol,n_trades,win_rate,expectancy_r,trade_sharpe,ci_lower,ci_upper,is_starred,ann_R,total_R,volume_24h
SUSHIUSDT,31,0.45161290322580644,0.9512048266825798,1.2813134669711905,-0.16659412714880506,2.4889403671622876,False,5.698547328740836,29.487349627159972,35040619.4281
NEARUSDT,30,0.36666666666666664,1.0647778758610602,1.2400046800195104,-0.3344344844486962,2.916338664959445,False,6.382551189686853,31.943336275831808,923173059.053
NEOUSDT,33,0.42424242424242425,0.5704486694130129,1.2096478881296868,-0.1935160068479989,1.518301212471747,False,3.326444327335461,18.824806090629426,7127168.967
BTCUSDT,34,0.4117647058823529,1.2158412136873964,1.201475430098991,-0.21876261572347294,3.324217805397363,False,7.394184188137578,41.33860126537148,30420487395.35
TONUSDT,7,0.2857142857142857,0.48263864035807486,1.198327966781018,-0.8702835104442188,2.260045614324921,False,2.995112484794922,3.378470482506524,235694521.51492
VETUSDT,38,0.39473684210526316,0.8356112139642784,1.1145524523757426,-0.2469002765777701,2.279658717024818,False,5.616399924560388,31.753226130642577,9490244.332333
INJUSDT,34,0.4117647058823529,0.5606472734084252,1.1021270120001705,-0.23984258213371165,1.6176711266573216,False,3.7983623376009437,19.06200729588646,127625524.7187
ARUSDT,28,0.32142857142857145,0.6855978595625251,1.0807847299992581,-0.39490871426462176,2.2107602901552235,False,4.448990678772808,19.196740067750703,44524920.991
ENJUSDT,31,0.4838709677419355,1.8052587588717242,1.0704073717447629,-0.15605462244344104,5.368478898946175,False,9.908140383914112,55.96302152502345,6757922.81506
DOTUSDT,32,0.4375,0.9200973788678543,1.055014344783373,-0.2899227115608519,2.8107123896754342,False,5.744710557803142,29.443116123771336,130587284.559
SEIUSDT,18,0.3333333333333333,0.8572242290040738,1.0333693634995322,-0.5563071929016472,3.287297867739019,False,7.106961782581694,15.430036122073329,44530307.37067
GRTUSDT,30,0.4,0.33456358351202786,0.9957419316752206,-0.24629397665156808,1.067416765636773,False,2.050324645600137,10.036907505360835,9456885.91928
ARKMUSDT,16,0.3125,0.6039581830117576,0.9938111180820579,-0.6271559183263486,2.5981608944354533,False,4.176960498841079,9.663330928188122,17380335.8509
DOGEUSDT,38,0.3157894736842105,1.0932723494624468,0.9797464171522037,-0.3111233501906913,3.2462327881089603,False,7.523090517780878,41.54434927957298,777720201.38474
HBARUSDT,39,0.3076923076923077,0.8206662677993123,0.9291180630832763,-0.4316352996487594,2.4921729008953726,False,5.705312746820036,32.00598444417318,58519525.66892
ICPUSDT,24,0.3333333333333333,0.863739088162128,0.9001048505242243,-0.5162703997960487,3.238295130318872,False,4.776994856043667,20.72973811589107,91922566.075
ALTUSDT,12,0.3333333333333333,0.28121503931573505,0.8834240662449848,-0.6317686784120822,1.3762199166533955,False,1.9410480587730183,3.3745804717888204,7976689.356913
ETCUSDT,32,0.34375,1.7033981376021834,0.8719751867315374,-0.485731547028412,5.802603046036029,False,9.73560754635419,54.50874040326987,45057593.101
CHZUSDT,36,0.3611111111111111,1.8279477095148593,0.8685331365948107,-0.41944712312408866,5.9680540300823814,False,11.91655152821561,65.80611754253493,62169061.25064
WIFUSDT,10,0.5,0.1774457551130883,0.8561584239774023,-0.5118887977383697,0.9131262578606432,False,1.1913981995414615,1.774457551130883,68013139.85376
DUSKUSDT,38,0.42105263157894735,0.5528917001481539,0.8454836651761927,-0.3203192149598844,1.816162376399159,False,3.840770947050202,21.00988460562985,6854786.60414
LINKUSDT,37,0.32432432432432434,0.5525667894946265,0.7492749014738131,-0.41998328251457295,2.152254381667686,False,3.6713499188435375,20.44497121130118,213630115.537
APEUSDT,21,0.38095238095238093,0.2542040230394409,0.7490014374262276,-0.4659614961451374,1.1397459014172266,False,1.8411788552580468,5.338284483828259,19138515.83
XLMUSDT,36,0.2777777777777778,1.0606425724275288,0.7453916742191133,-0.5159604100061157,3.8932253421317338,False,6.826426424302289,38.18313260739104,278681250.35211
XRPUSDT,37,0.2972972972972973,0.4776662917415198,0.7304913767865701,-0.5059603007253026,1.7931420697212626,False,3.1893783019603923,17.673652794436233,1090295745.0974
TRBUSDT,32,0.375,0.7097190856297594,0.7117467123909371,-0.47883424779684347,2.8498670021337826,False,4.431194803867857,22.7110107401523,8707425.425
ZECUSDT,36,0.2222222222222222,1.408542035451389,0.7100807910976344,-0.7013894358576157,5.298393219267786,False,9.159702880390856,50.70751327625,2300297483.54
OPUSDT,20,0.35,0.3558710861283437,0.657443352689465,-0.6128821795714957,1.8097882109445287,False,2.4363995165581547,7.117421722566875,64347836.79961
PORTALUSDT,11,0.45454545454545453,0.128004128670754,0.5971724188726403,-0.5161546534077095,0.8932874998783201,False,0.8571476466115365,1.408045415378294,52107932.38735
CFXUSDT,27,0.4074074074074074,0.17507051489934589,0.5920867364826841,-0.38564486789534147,0.8417434919977006,False,1.0319794682059917,4.726903902282339,9531075.72133
WUSDT,8,0.375,0.1495519925019666,0.5818934241241219,-0.7495565517424788,1.1531696879339044,False,0.7653080947298536,1.1964159400157328,18893817.977235
GMTUSDT,23,0.391304347826087,0.20330725757021936,0.5812391553744044,-0.5109965953894381,1.0740187323415245,False,1.671167753456967,4.676066924115045,11467141.89921
NOTUSDT,10,0.4,0.18658423456261244,0.5631508511809906,-0.7586642563247935,1.4227947705981434,False,1.3548686217493875,1.8658423456261244,11444171.9188316
IOTAUSDT,41,0.24390243902439024,0.31678338019981395,0.5283787701255275,-0.5119099666724031,1.4386072352027053,False,2.2950703020499583,12.988118588192371,9910475.5963
UNIUSDT,33,0.30303030303030304,0.3388764372634895,0.49932505283214595,-0.5605132572781809,1.7987036274262416,False,2.3011619253217774,11.182922429695154,86702314.696
