pair,entry_time,exit_time,days,entry_z,gross_pct,net_pct,exit_reason
AAVEUSDT/LINKUSDT,2021-02-04 00:00:00+00:00,2021-02-13 00:00:00+00:00,9,2.45,60.044,59.684,converged
ADAUSDT/BTCUSDT,2021-02-05 00:00:00+00:00,2021-02-10 00:00:00+00:00,5,2.46,-35.43,-35.79,spread_blowout
ADAUSDT/BNBUSDT,2021-02-05 00:00:00+00:00,2021-02-08 00:00:00+00:00,3,-3.06,-14.578,-14.938,spread_blowout
BNBUSDT/DOGEUSDT,2021-02-06 00:00:00+00:00,2021-02-09 00:00:00+00:00,3,2.21,-34.366,-34.726,spread_blowout
DOGEUSDT/UNIUSDT,2021-02-06 00:00:00+00:00,2021-03-04 00:00:00+00:00,26,2.13,63.261,62.901,converged
AVAXUSDT/LINKUSDT,2021-02-07 00:00:00+00:00,2021-02-08 00:00:00+00:00,1,2.95,-17.886,-18.246,spread_blowout
SOLUSDT/UNIUSDT,2021-02-08 00:00:00+00:00,2021-02-19 00:00:00+00:00,11,2.06,-35.324,-35.684,spread_blowout
AVAXUSDT/UNIUSDT,2021-02-08 00:00:00+00:00,2021-02-10 00:00:00+00:00,2,2.43,-53.458,-53.818,spread_blowout
ADAUSDT/ETHUSDT,2021-02-08 00:00:00+00:00,2021-02-10 00:00:00+00:00,2,3.3,-33.974,-34.334,spread_blowout
AVAXUSDT/LINKUSDT,2021-02-09 00:00:00+00:00,2021-02-10 00:00:00+00:00,1,2.55,-61.177,-61.537,spread_blowout
AAVEUSDT/AVAXUSDT,2021-02-10 00:00:00+00:00,2021-03-12 00:00:00+00:00,30,-2.86,26.465,26.105,time_stop
AVAXUSDT/SOLUSDT,2021-02-10 00:00:00+00:00,2021-02-19 00:00:00+00:00,9,2.56,67.04,66.68,converged
ADAUSDT/UNIUSDT,2021-02-10 00:00:00+00:00,2021-03-12 00:00:00+00:00,30,2.54,20.793,20.433,time_stop
AVAXUSDT/LINKUSDT,2021-02-11 00:00:00+00:00,2021-02-20 00:00:00+00:00,9,3.52,75.594,75.234,converged
ADAUSDT/BNBUSDT,2021-02-11 00:00:00+00:00,2021-02-14 00:00:00+00:00,3,-2.82,-24.498,-24.858,spread_blowout
ADAUSDT/ETHUSDT,2021-02-12 00:00:00+00:00,2021-02-20 00:00:00+00:00,8,3.57,-14.216,-14.576,spread_blowout
AVAXUSDT/UNIUSDT,2021-02-12 00:00:00+00:00,2021-02-23 00:00:00+00:00,11,2.54,66.203,65.843,converged
BNBUSDT/DOGEUSDT,2021-02-13 00:00:00+00:00,2021-02-14 00:00:00+00:00,1,3.85,-3.547,-3.907,spread_blowout
BNBUSDT/DOGEUSDT,2021-02-15 00:00:00+00:00,2021-02-17 00:00:00+00:00,2,3.12,-28.678,-29.038,spread_blowout
ADAUSDT/BNBUSDT,2021-02-17 00:00:00+00:00,2021-02-19 00:00:00+00:00,2,-2.78,-88.465,-88.825,spread_blowout
AVAXUSDT/BNBUSDT,2021-02-17 00:00:00+00:00,2021-02-19 00:00:00+00:00,2,-2.36,-125.182,-125.542,spread_blowout
AAVEUSDT/SOLUSDT,2021-02-19 00:00:00+00:00,2021-02-23 00:00:00+00:00,4,-2.33,-46.477,-46.837,spread_blowout
LINKUSDT/UNIUSDT,2021-02-19 00:00:00+00:00,2021-02-22 00:00:00+00:00,3,2.11,24.566,24.206,converged
ADAUSDT/DOGEUSDT,2021-02-20 00:00:00+00:00,2021-03-22 00:00:00+00:00,30,2.36,1.888,1.528,time_stop
AAVEUSDT/ADAUSDT,2021-02-20 00:00:00+00:00,2021-02-26 00:00:00+00:00,6,-2.29,-43.478,-43.838,spread_blowout
AAVEUSDT/UNIUSDT,2021-02-20 00:00:00+00:00,2021-03-07 00:00:00+00:00,15,-2.53,-23.677,-24.037,spread_blowout
ADAUSDT/AVAXUSDT,2021-02-20 00:00:00+00:00,2021-02-26 00:00:00+00:00,6,2.54,-32.871,-33.231,spread_blowout
ADAUSDT/ETHUSDT,2021-02-21 00:00:00+00:00,2021-02-25 00:00:00+00:00,4,2.43,-33.737,-34.097,spread_blowout
ADAUSDT/BNBUSDT,2021-02-21 00:00:00+00:00,2021-03-23 00:00:00+00:00,30,-2.53,16.645,16.285,time_stop
DOGEUSDT/SOLUSDT,2021-02-22 00:00:00+00:00,2021-03-24 00:00:00+00:00,30,-2.15,4.772,4.412,time_stop
SOLUSDT/UNIUSDT,2021-02-22 00:00:00+00:00,2021-03-24 00:00:00+00:00,30,2.26,3.882,3.522,time_stop
ETHUSDT/SOLUSDT,2021-02-22 00:00:00+00:00,2021-03-24 00:00:00+00:00,30,-2.59,-8.126,-8.486,time_stop
LINKUSDT/SOLUSDT,2021-02-22 00:00:00+00:00,2021-02-23 00:00:00+00:00,1,-2.69,-22.511,-22.871,spread_blowout
ADAUSDT/LINKUSDT,2021-02-23 00:00:00+00:00,2021-02-26 00:00:00+00:00,3,2.79,-31.143,-31.503,spread_blowout
ADAUSDT/SOLUSDT,2021-02-23 00:00:00+00:00,2021-02-26 00:00:00+00:00,3,-2.5,36.915,36.555,converged
AAVEUSDT/SOLUSDT,2021-02-24 00:00:00+00:00,2021-03-26 00:00:00+00:00,30,-3.86,13.26,12.9,time_stop
LINKUSDT/SOLUSDT,2021-02-24 00:00:00+00:00,2021-03-26 00:00:00+00:00,30,-3.76,5.465,5.105,time_stop
AVAXUSDT/SOLUSDT,2021-02-25 00:00:00+00:00,2021-03-27 00:00:00+00:00,30,-3.02,-19.659,-20.019,time_stop
ADAUSDT/BTCUSDT,2021-02-26 00:00:00+00:00,2021-03-28 00:00:00+00:00,30,2.55,38.637,38.277,time_stop
ADAUSDT/LINKUSDT,2021-02-27 00:00:00+00:00,2021-03-29 00:00:00+00:00,30,3.35,21.094,20.734,time_stop
ADAUSDT/AVAXUSDT,2021-02-27 00:00:00+00:00,2021-02-28 00:00:00+00:00,1,3.82,-4.933,-5.293,spread_blowout
ADAUSDT/AVAXUSDT,2021-03-02 00:00:00+00:00,2021-04-01 00:00:00+00:00,30,2.39,6.176,5.816,time_stop
AAVEUSDT/UNIUSDT,2021-03-22 00:00:00+00:00,2021-04-21 00:00:00+00:00,30,-2.12,2.915,2.555,time_stop
AVAXUSDT/ETHUSDT,2021-04-02 00:00:00+00:00,2021-04-22 00:00:00+00:00,20,-2.36,-56.178,-56.538,spread_blowout
ETHUSDT/LINKUSDT,2021-04-03 00:00:00+00:00,2021-04-28 00:00:00+00:00,25,2.04,-15.608,-15.968,spread_blowout
ADAUSDT/SOLUSDT,2021-04-03 00:00:00+00:00,2021-04-18 00:00:00+00:00,15,-2.67,-21.677,-22.037,spread_blowout
SOLUSDT/UNIUSDT,2021-04-07 00:00:00+00:00,2021-05-07 00:00:00+00:00,30,2.43,-11.986,-12.346,time_stop
ADAUSDT/BNBUSDT,2021-04-08 00:00:00+00:00,2021-05-08 00:00:00+00:00,30,-2.03,0.315,-0.045,time_stop
BTCUSDT/ZECUSDT,2021-04-11 00:00:00+00:00,2021-04-17 00:00:00+00:00,6,-2.13,-18.021,-18.381,spread_blowout
BNBUSDT/BTCUSDT,2021-04-12 00:00:00+00:00,2021-04-23 00:00:00+00:00,11,2.03,-47.38,-47.74,spread_blowout
BTCUSDT/SOLUSDT,2021-04-18 00:00:00+00:00,2021-04-22 00:00:00+00:00,4,-2.51,-14.08,-14.44,spread_blowout
ADAUSDT/SOLUSDT,2021-04-19 00:00:00+00:00,2021-04-25 00:00:00+00:00,6,-2.36,-37.621,-37.981,spread_blowout
BNBUSDT/SOLUSDT,2021-04-22 00:00:00+00:00,2021-04-25 00:00:00+00:00,3,-2.7,-24.848,-25.208,spread_blowout
BNBUSDT/BTCUSDT,2021-04-24 00:00:00+00:00,2021-05-15 00:00:00+00:00,21,3.15,-38.456,-38.816,spread_blowout
BNBUSDT/SOLUSDT,2021-04-26 00:00:00+00:00,2021-05-26 00:00:00+00:00,30,-2.28,-8.735,-9.095,time_stop
ETHUSDT/ZECUSDT,2021-04-27 00:00:00+00:00,2021-05-03 00:00:00+00:00,6,2.21,-23.42,-23.78,spread_blowout
LINKUSDT/ZECUSDT,2021-05-04 00:00:00+00:00,2021-05-19 00:00:00+00:00,15,3.48,31.74,31.38,converged
ETHUSDT/ZECUSDT,2021-05-08 00:00:00+00:00,2021-05-24 00:00:00+00:00,16,2.78,-12.648,-13.008,spread_blowout
